@RELATION sizes1_nuovo.arff 

@ATTRIBUTE a0 real
@ATTRIBUTE a1 real

@DATA
-0.605766,-4.85222
10.4512,13.332
14.5576,9.50309
6.28514,0.352832
4.21319,12.5666
13.8645,11.4671
9.22933,13.9351
11.5545,3.03685
10.667,7.0025
7.47802,8.59164
11.5335,11.5428
-0.820624,0.701993
-0.238037,10.761
6.8692,12.1175
-3.89233,1.08762
2.36282,10.317
9.5701,10.3965
9.94007,2.01545
-0.507812,6.67021
-0.925719,10.5047
15.5706,9.2696
-3.45397,0.565817
5.33838,9.78748
7.31482,13.028
13.1656,10.3968
10.3905,11.2224
1.41131,10.5887
6.9985,9.23979
11.477,3.71484
14.1475,12.1248
11.7712,-2.17831
9.09938,10.526
12.1057,9.53255
-0.519034,13.7277
0.154091,-1.63405
2.43407,9.86683
9.10197,12.8327
15.1928,14.594
9.65887,2.72007
8.30827,-2.24798
6.22829,1.3366
-4.95003,11.0353
0.150642,-0.212132
9.65928,-0.75612
11.3185,10.3911
-0.181509,0.993791
9.79824,6.08769
13.8802,7.98323
0.893555,5.50914
0.326388,9.05087
0.376454,-1.59503
12.3239,12.8874
8.86505,14.0633
7.30215,-4.65305
10.7683,13.6537
7.68373,11.3203
7.60063,1.63451
12.161,11.5449
10.4187,9.91283
-1.44787,10.3007
-2.09528,-2.6127
8.95043,9.84081
4.89587,3.06646
11.9229,10.542
10.758,-2.88418
11.6276,9.0659
-0.169659,9.553
11.8034,8.63871
11.535,10.668
11.125,0.622096
10.7037,10.6295
9.22699,-3.15862
9.77966,9.93818
6.27554,-1.58322
8.14489,8.00775
-0.534943,1.48811
-1.81014,0.656528
8.5473,4.07281
-2.67629,8.09977
14.4686,6.66246
0.725923,0.566342
0.739131,12.5341
9.74932,-1.56657
-0.886717,8.43231
9.46512,9.01636
-0.859444,-4.83755
8.57425,7.27815
4.43719,0.183355
8.12712,8.10559
11.3225,7.58684
12.1075,8.19083
11.9112,9.9538
10.578,7.76016
-0.556545,7.73867
-4.41556,9.72239
11.7218,-0.609887
1.77769,-0.973635
8.86839,-3.02416
11.5122,7.70856
12.836,10.8349
8.73624,11.6803
8.32831,9.57361
4.17587,8.07805
2.32848,-0.74909
11.9971,1.34761
4.17716,-0.395879
4.9417,4.81965
1.92591,11.3261
10.4619,10.3161
0.874273,8.17967
2.70549,-0.123702
12.1752,12.0333
10.1979,8.22076
0.52196,0.354385
1.31495,8.52084
1.80777,-0.667409
11.9307,0.249349
11.2604,-1.13167
1.22918,11.8643
1.75368,9.96342
10.979,-1.43509
-2.08754,10.2678
10.559,6.01977
5.49082,-1.4813
0.988393,-0.756335
11.2756,7.60753
-0.0104911,10.8344
2.95172,9.58934
6.79949,-4.56326
9.18596,0.476998
0.173236,13.3011
9.81527,9.68599
2.9169,2.00318
2.47296,-0.48081
