@RELATION sizes1_nuovo.arff 

@ATTRIBUTE a0 real
@ATTRIBUTE a1 real

@DATA
7.7203,10.1699
6.21638,8.42039
11.125,0.622096
12.019,9.46032
1.91479,12.1012
9.45622,12.1031
0.481845,-1.08678
-1.0656,6.98466
12.9466,13.2051
8.93033,2.16935
10.3044,-2.52951
11.7182,9.31783
-2.71007,6.992
8.09707,2.08737
8.77808,9.15448
12.0995,4.31138
11.3707,10.5571
11.6177,-1.447
10.4573,10.7035
-1.81283,-0.790834
8.97236,8.02286
8.74079,9.24207
7.7761,10.6394
-2.40085,8.4237
-0.234565,9.38178
9.45936,8.0722
-1.1926,13.0926
-2.67629,8.09977
12.2728,1.34948
11.8637,7.25472
4.9417,4.81965
-1.15206,-3.95319
4.2976,3.00754
3.69393,2.64975
11.6708,7.65239
-2.97582,11.4913
7.41939,-2.84539
12.028,14.6536
3.97455,-1.06131
-0.918176,2.82244
11.535,10.668
1.65964,8.05822
11.2113,15.1372
7.32442,8.94493
10.6347,8.8983
10.1719,2.56644
1.86301,-0.693337
14.0138,12.1325
8.36323,11.1985
7.31482,13.028
10.2975,12.7944
10.5392,10.6736
11.2604,-1.13167
12.3697,7.25046
1.91625,11.6946
8.04627,8.20369
11.5122,7.70856
11.6784,11.2498
10.8073,8.50124
9.67796,8.36794
12.8089,2.1599
11.9937,9.84183
5.98094,-2.14179
9.88462,5.85029
2.65308,-0.460631
12.6697,7.43822
0.739131,12.5341
11.4861,-2.93845
-1.05826,11.4633
9.78445,10.3193
1.39285,1.50001
8.01785,10.5525
-0.284288,11.4891
10.7651,-0.637655
-1.8405,10.2158
2.04088,-2.62414
-2.05413,13.2955
0.579608,-0.666895
1.35768,-3.97897
-1.56713,-2.35451
7.56629,-0.388088
9.28531,14.5879
1.22918,11.8643
12.8766,10.4393
6.88768,-0.547717
6.65627,10.7174
9.5901,10.0516
10.4576,11.7159
14.7146,11.7994
-2.46225,10.0478
-0.192926,10.0472
14.7353,11.2434
0.874273,8.17967
11.2354,-0.461017
10.3754,9.42935
-1.96648,3.07495
9.59868,9.10545
11.0309,-2.79915
13.5599,9.01813
1.88995,9.31191
-0.146437,1.27856
8.5823,11.2478
10.9761,1.10382
-2.76883,10.4762
1.21559,11.0284
2.70549,-0.123702
7.82579,12.9131
-1.20704,1.03603
0.335432,-0.145461
6.07487,-3.72089
12.0608,-0.20577
11.1056,2.9693
9.66677,9.1141
-1.51166,8.80485
-0.187841,-0.126988
9.67818,0.618563
4.17587,8.07805
10.0969,9.99308
14.533,10.7353
-1.78727,9.20247
11.1671,0.359657
11.065,-0.45256
9.65928,-0.75612
13.5395,8.23445
1.62099,-3.64251
-2.8331,-1.98826
-1.73015,12.1341
3.31951,6.9207
10.259,-0.98786
11.3003,10.4516
9.97651,15.0361
12.4972,12.3529
11.4095,7.46356
8.32831,9.57361
11.2226,9.04498
9.77966,9.93818
11.5502,8.77388
8.52603,9.87376
11.477,3.71484
7.70024,8.92462
-2.08754,10.2678
10.5575,2.10057
4.46508,10.3012
2.42021,2.8181
12.1752,12.0333
1.33916,-0.168749
10.7766,9.85874
-2.38219,10.9372
-3.08972,9.90624
1.75368,9.96342
-3.37413,0.356287
0.386252,10.754
12.6377,7.94499
0.890798,11.9733
9.09938,10.526
9.6595,8.86563
-0.700995,0.536133
9.73108,10.8062
6.58918,12.0151
8.24522,5.35108
2.13731,-2.13039
0.0808853,0.189138
6.69151,-2.80354
1.95475,10.7679
1.84621,-0.604547
11.5558,0.236401
-1.66078,0.429776
8.27758,8.30114
1.77769,-0.973635
9.68885,-2.70928
0.591039,-0.691381
1.49894,3.68816
2.75031,8.18588
9.5701,10.3965
-1.81014,0.656528
7.30215,-4.65305
0.782322,-2.0979
9.76939,7.22319
9.27701,-1.36731
-0.403583,-0.732989
-2.96738,1.82463
-0.886717,8.43231
8.39059,8.84905
2.95172,9.58934
12.0278,-3.09669
13.5175,-2.63983
1.32384,0.815153
11.8243,8.18213
10.1514,11.1756
12.3458,-3.2733
14.5526,13.8872
11.9512,10.8684
10.8181,9.49756
-5.6814,0.702193
-2.72043,10.004
3.00189,0.833134
9.34407,3.18518
12.7371,10.1957
10.7683,13.6537
12.1058,1.5459
10.559,6.01977
-3.03217,10.1515
10.0438,3.48085
-0.605766,-4.85222
11.834,4.02823
1.53677,2.42169
4.43719,0.183355
-0.0243601,11.5824
-1.5736,7.43722
1.12361,2.89624
9.34071,1.47134
8.73552,0.675035
-1.82788,3.12048
4.21319,12.5666
-3.63166,2.83141
11.3324,0.0138985
12.2948,8.67373
9.42364,12.6233
-0.798278,9.41807
9.89544,12.5722
8.3429,6.78901
9.43467,-0.283542
7.72302,9.09301
-1.44787,10.3007
10.9836,-1.16833
8.34296,8.28633
12.6008,8.8102
9.85608,-2.00514
13.273,10.0238
1.20583,-1.28969
7.60063,1.63451
8.92839,8.74522
11.3958,12.9623
13.2456,8.38442
1.42139,11.5197
-2.32104,10.8743
12.6712,10.8197
10.4187,9.91283
2.69018,-0.945095
-0.658451,11.0123
12.0811,7.32609
12.2038,-2.03743
8.50823,6.88579
11.9765,9.1169
8.75107,10.3997
0.140139,1.03913
3.47825,-2.14059
12.1961,2.51581
10.1288,10.598
10.4096,8.53336
10.9545,11.0514
-1.95983,10.4127
6.3978,12.9913
0.661925,1.81805
6.9313,2.48433
7.6731,-0.628619
7.84702,11.7126
8.65089,10.5933
-1.96732,11.8286
10.0495,6.86592
12.1924,8.95816
-3.42522,8.78124
0.0701485,13.1913
7.15508,8.21918
9.97716,10.513
-2.1727,9.33665
13.9419,5.67947
0.885437,1.66435
9.37968,-2.47524
8.73896,12.0874
11.4703,12.9132
9.695,9.09234
-0.169659,9.553
10.8296,-2.25649
14.4686,6.66246
-1.26836,9.93758
-1.53454,9.30659
7.55944,9.41454
10.7089,8.4083
11.1078,14.9324
13.1656,10.3968
1.07195,10.3994
9.17193,-4.52783
-0.494785,-0.640115
7.22961,0.951544
7.14227,-2.23455
11.5831,11.7797
6.86863,8.05636
9.13569,-2.48605
9.79824,6.08769
-0.065558,9.95612
-0.507812,6.67021
10.5707,7.25383
10.7446,-0.113716
8.99936,-1.92197
11.363,3.75779
11.9708,13.3025
-2.06097,-1.47577
9.74932,-1.56657
7.85829,8.71525
12.9528,10.5579
13.2233,-1.99657
11.0824,4.91214
0.431788,10.6694
10.5074,5.6615
2.29553,2.30515
12.1638,8.07521
10.667,7.0025
6.20965,7.91058
-1.69762,1.92191
-1.75483,10.6753
11.2062,13.8963
11.3663,-0.32651
3.60298,1.63196
2.5331,12.7045
0.376454,-1.59503
-0.534943,1.48811
11.3605,2.00658
11.5796,7.80743
15.5706,9.2696
11.027,10.6794
11.1909,7.76906
4.89587,3.06646
0.167535,8.98793
-2.77354,8.67139
11.9935,11.7392
10.0049,9.79465
10.2131,1.99959
-1.66788,11.7931
10.0997,-1.61675
0.52196,0.354385
-1.51363,0.469414
11.438,4.24336
-1.66917,-0.77593
0.940038,11.1236
-3.45954,0.178698
8.2291,5.68611
-0.859444,-4.83755
-0.252299,-3.56732
-1.94606,9.91084
4.67629,0.166561
-0.826567,1.74523
10.8497,1.88105
1.02161,2.18473
9.42097,0.977441
8.05989,1.32939
6.97773,-3.14714
0.786975,-1.29328
0.951624,1.6315
10.578,7.76016
0.684984,0.830652
8.21559,6.11077
0.609742,0.251508
5.98271,0.00238253
11.8697,11.1593
10.5436,9.93228
15.0562,0.845162
8.45374,8.25234
9.24623,5.47186
2.47296,-0.48081
-2.1902,10.1435
8.93477,7.29022
10.979,-1.43509
13.2484,11.2762
-0.829712,1.00376
7.47802,8.59164
11.5519,7.7021
9.47711,-2.35131
-0.268874,-2.34666
-1.58116,10.6418
11.365,1.00494
-0.238037,10.761
7.32449,7.96808
11.3303,8.74822
10.7798,0.0227093
7.69215,-5.37808
9.36716,9.96609
8.11791,11.4117
-1.7658,10.398
-0.181509,0.993791
1.0119,12.4349
-1.77294,-0.219129
10.6372,2.78646
9.91341,0.0545734
2.9169,2.00318
13.2945,10.8033
8.62857,9.66298
-2.04304,6.3212
-2.09528,-2.6127
10.8362,-2.85463
10.1417,8.16177
8.95043,9.84081
8.54994,11.8137
0.194562,10.4717
-4.16528,11.0152
8.18685,-1.7831
0.165042,11.1848
0.642571,0.949917
7.35056,9.42417
3.89104,-0.0821235
10.437,11.3347
-0.315781,-0.844055
-0.423129,0.457362
12.1075,8.19083
11.5335,11.5428
7.57984,9.60288
10.9386,7.67109
9.85264,5.69592
9.83506,-0.391023
-2.25268,11.8395
11.9112,9.9538
9.69399,-3.95409
2.37966,8.80848
10.1198,13.2858
10.469,-0.880681
12.7508,7.3146
2.32848,-0.74909
