@RELATION sizes1_nuovo.arff 

@ATTRIBUTE a0 real
@ATTRIBUTE a1 real

@DATA
8.12712,8.10559
11.9765,9.1169
11.4556,12.08
1.40444,8.41619
1.14063,-0.909931
13.2484,11.2762
3.60298,1.63196
11.9307,0.249349
3.07197,8.06606
0.890203,9.12201
0.52196,0.354385
13.8645,11.4671
14.4349,-1.99909
10.9933,6.19285
1.80777,-0.667409
11.7182,9.31783
10.7766,9.85874
7.32449,7.96808
-1.81283,-0.790834
-1.77294,-0.219129
-0.71307,11.0352
8.73624,11.6803
-6.13967,11.0261
-1.56713,-2.35451
9.21368,1.87094
-2.72043,10.004
8.53328,-3.74741
9.18596,0.476998
2.83137,-3.74426
8.10825,8.25509
-0.065558,9.95612
2.69018,-0.945095
8.27758,8.30114
-1.7658,10.398
1.12361,2.89624
-1.18268,9.01252
1.64522,10.707
-1.75483,10.6753
9.76939,7.22319
10.2131,1.99959
10.4573,10.7035
11.6119,9.80137
10.0997,-1.61675
-0.0243601,11.5824
4.2976,3.00754
7.35056,9.42417
10.7589,10.8668
12.0638,6.88238
1.0403,8.78436
-2.32104,10.8743
-3.86655,-2.76241
9.65928,-0.75612
0.520017,9.56034
-3.04233,-0.232775
-2.6305,6.71448
12.7371,10.1957
-0.519034,13.7277
12.5926,6.65122
6.89259,8.05398
-2.34717,8.73954
10.6278,-0.611762
8.73896,12.0874
0.194562,10.4717
9.48003,12.6462
10.5074,5.6615
11.1165,-0.31053
11.5578,11.8791
1.97409,1.79215
9.76536,11.4476
1.39285,1.50001
0.608973,10.3172
12.3977,8.4489
3.68463,1.18731
10.7798,0.0227093
8.81378,0.307284
8.52211,10.857
-0.344824,8.47128
-2.0418,10.7504
9.71022,-3.23037
11.9229,10.542
5.27706,9.20587
9.87799,0.972862
6.8692,12.1175
11.9937,9.84183
-1.58396,11.949
0.605546,0.0254962
6.36099,3.38023
10.1979,8.22076
9.85264,5.69592
8.32831,9.57361
12.3458,-3.2733
2.08746,8.01096
0.893555,5.50914
11.477,3.71484
9.23873,7.7269
6.21638,8.42039
10.3314,12.871
1.95475,10.7679
-2.25268,11.8395
-2.68442,8.16733
8.45447,6.33871
7.79037,9.16634
-0.494785,-0.640115
1.78485,-0.127609
12.4698,-2.95815
-0.351842,10.288
8.11791,11.4117
10.7651,-0.637655
2.68635,4.60259
-1.26836,9.93758
0.154091,-1.63405
9.91341,0.0545734
14.7146,11.7994
1.75368,9.96342
10.675,9.66217
14.9283,1.59718
5.98271,0.00238253
10.8296,-2.25649
9.30566,7.542
2.9169,2.00318
10.7225,1.97495
10.0384,9.52178
9.81318,7.23553
2.71149,11.8075
9.13569,-2.48605
-1.5736,7.43722
11.3663,-0.32651
6.79949,-4.56326
0.058936,8.56131
10.4313,-4.39714
11.3588,-0.645049
7.6731,-0.628619
6.07487,-3.72089
-3.04905,-1.76264
13.5599,9.01813
3.89104,-0.0821235
0.63753,13.9609
10.3781,9.31997
3.04899,-1.98091
11.4578,6.61146
-1.81014,0.656528
8.86505,14.0633
-0.700995,0.536133
1.42139,11.5197
3.00189,0.833134
2.1663,1.30313
11.5502,8.77388
7.41939,-2.84539
6.88338,0.247912
11.3707,10.5571
11.065,-0.45256
1.50933,0.487079
9.43467,-0.283542
8.73552,0.675035
2.21826,8.09881
-0.403583,-0.732989
9.87384,11.4598
6.69151,-2.80354
-0.169659,9.553
9.86468,11.8412
12.6122,12.7167
9.24623,5.47186
10.5897,10.4519
-2.63203,12.8567
8.02947,0.744465
6.58918,12.0151
13.2256,10.3613
11.3646,7.68138
10.3044,-2.52951
7.52451,5.08716
10.8361,-2.92963
8.02572,10.8846
1.09369,8.56597
1.91479,12.1012
7.20409,10.0351
5.29354,9.8037
-0.464386,12.2887
-0.658451,11.0123
9.62504,1.12688
8.93033,2.16935
-2.1902,10.1435
8.52603,9.87376
3.47825,-2.14059
2.36282,10.317
11.9339,1.8708
10.0438,3.48085
-3.66954,9.2038
12.0278,-3.09669
9.5029,8.89098
10.4576,11.7159
-4.16528,11.0152
1.47759,9.29131
9.1496,11.5714
-2.8331,-1.98826
13.1588,11.1383
9.84587,9.02506
10.3335,6.60199
12.1075,8.19083
2.13731,-2.13039
10.2985,1.56471
-1.15226,8.22655
8.57425,7.27815
-2.02523,-1.32316
11.036,8.46403
9.85262,8.24078
10.3486,13.2218
-0.296291,8.2122
9.34407,3.18518
-0.766376,9.8924
-0.0813104,9.55834
7.56629,-0.388088
6.04861,10.7805
4.17716,-0.395879
8.84898,-1.22367
-2.40085,8.4237
5.96348,12.5684
-1.04651,5.86347
13.6918,12.4815
11.535,10.668
-2.18367,1.40021
9.1322,11.5735
9.18789,7.72991
9.17193,-4.52783
0.173236,13.3011
-3.7511,0.970757
-0.330494,2.99032
-2.67629,8.09977
10.5392,10.6736
11.3225,7.58684
11.5831,11.7797
11.3186,-0.423971
-1.0656,6.98466
8.3429,6.78901
9.73108,10.8062
-0.395254,-2.24758
3.43452,7.23192
-2.93696,10.4947
6.46928,0.945053
11.1482,7.50987
8.48151,8.34905
0.786027,-2.77921
7.48483,0.691857
1.38406,-0.354549
11.027,10.6794
0.948945,1.00981
9.67796,8.36794
6.97813,10.126
6.9313,2.48433
8.34296,8.28633
-0.281573,-1.64008
1.53773,-1.12042
10.6876,8.90464
10.8882,2.59233
1.92591,11.3261
-1.20183,7.08151
14.5526,13.8872
11.9708,13.3025
10.3079,7.6024
8.46814,9.16604
11.7712,-2.17831
-1.77847,13.6851
9.7816,9.41973
11.4095,7.46356
9.87299,8.53522
3.84921,0.906957
10.559,6.01977
2.32848,-0.74909
1.70694,11.4128
8.24522,5.35108
12.6712,10.8197
9.3493,11.4929
7.93566,8.93538
13.8802,7.98323
-0.331616,1.45299
9.42084,2.43295
9.5701,10.3965
-0.949451,8.49428
4.21319,12.5666
9.78445,10.3193
12.6697,7.43822
-0.992663,2.57762
12.3429,7.04905
7.30215,-4.65305
0.609742,0.251508
6.22829,1.3366
11.3185,10.3911
-1.66788,11.7931
9.97716,10.513
7.31482,13.028
12.4237,13.5486
10.2383,9.56372
6.88768,-0.547717
10.6664,-2.79645
9.34484,0.980646
10.7446,-0.113716
14.2588,-0.336972
