@RELATION sizes1_nuovo.arff 

@ATTRIBUTE a0 real
@ATTRIBUTE a1 real

@DATA
11.6119,9.80137
9.57703,9.57526
1.75368,9.96342
5.96348,12.5684
10.3335,6.60199
11.1909,7.76906
10.4573,10.7035
10.084,8.74642
9.47169,13.3645
9.87799,0.972862
0.731656,11.0595
9.87299,8.53522
8.34186,-1.1924
2.04088,-2.62414
0.45314,8.21869
6.28514,0.352832
0.154091,-1.63405
0.849104,-0.210371
12.3977,8.4489
7.35973,10.8135
0.857237,-2.12878
11.5036,5.65147
11.5395,10.5046
8.02947,0.744465
12.1057,8.25801
-2.97582,11.4913
2.13731,-2.13039
-2.96738,1.82463
8.98839,7.48958
-2.93696,10.4947
-1.94606,9.91084
15.0562,0.845162
-2.02336,9.82917
4.21319,12.5666
0.620538,-3.88896
1.92591,11.3261
10.8188,10.5232
4.87101,0.012333
10.6198,5.67956
8.04627,8.20369
12.1058,1.5459
4.9583,8.9525
9.78445,10.3193
2.9169,2.00318
1.65964,8.05822
9.34484,0.980646
10.7683,13.6537
-0.949451,8.49428
-2.46225,10.0478
10.5897,10.4519
